gene_name	alpha	sigma2	theta0	theta1	loss
1	4.539868740727115	360.07286167144775	2.8217005729675293	9.907684326171875	859.495849609375
2	4.227356564217416	581.4718572999263	0.20862367749214172	8.49209976196289	961.7261962890625
3	8.50134934954491	523.0445284793532	3.816849708557129	10.775511741638184	839.7532958984375
4	5.383742776302881	305.28998388000764	5.980000019073486	10.851608276367188	804.36279296875
5	2.6599227706021935	266.8155577576872	2.389817953109741	9.833702087402344	863.3358764648438
6	3.475974578106843	320.8707895573789	4.924204349517822	8.544740676879883	870.3635864257812
7	3.858942036246745	330.68768480330255	4.027303695678711	9.148361206054688	863.7006225585938
8	2.827245670887862	296.8020344968536	2.811007499694824	11.062625885009766	877.8273315429688
9	3.6400563895231244	455.8591667300825	0.7942992448806763	9.018190383911133	932.9502563476562
10	4.285059627684461	565.6773139409815	0.6971650123596191	12.430139541625977	954.6319580078125
11	5.425629263223527	257.91390321919243	7.192131042480469	10.670912742614746	770.5245361328125
12	5.81664769136205	230.47694198074532	6.986546516418457	8.764236450195312	738.8060913085938
13	6.74646668382826	389.3667417709403	4.262279987335205	9.260815620422363	818.5662231445312
14	4.245676567757073	327.58695284370697	4.0084052085876465	9.456273078918457	849.8583374023438
15	2.969319102136069	377.3984003553087	2.8561973571777344	9.447748184204102	919.2642211914062
16	2.203044623910401	92.49080902409332	5.149630069732666	8.498790740966797	675.380615234375
17	7.833828577030545	590.5810877257354	2.506744861602783	11.245122909545898	876.3292236328125
18	3.327837112658486	195.40993726195666	6.341787338256836	7.865976810455322	779.1279907226562
19	3.1332666619764638	302.6309660522711	5.294198989868164	12.000781059265137	870.718994140625
20	4.228900839593791	449.18693992868066	1.2402743101119995	11.208718299865723	911.5442504882812
21	75.4880506497002	2107.5949872000056	6.991271495819092	8.865375518798828	705.5739135742188
22	6.318986193482544	750.3371397907358	0.5451353788375854	9.160411834716797	955.678466796875
23	9.422201833837107	386.7288397269476	6.2647247314453125	10.219808578491211	764.36083984375
24	3.458851979067049	455.91740323942213	0.2768363356590271	8.845723152160645	938.9696044921875
25	7.518354060814602	455.4705841929863	5.222625732421875	9.643863677978516	832.32373046875
26	5.951820283779853	597.57087868698	2.2872698307037354	9.3663911819458	920.29541015625
27	7.630170971079281	363.65586787834764	5.0033111572265625	7.589175701141357	786.34619140625
28	4.27615002283801	185.34583455220854	4.30519962310791	7.373971462249756	738.50341796875
29	3.296590933020127	464.2565616456013	0.40276774764060974	11.24371337890625	947.96826171875
30	3.4888594128844943	178.88812495151433	5.419389247894287	9.573952674865723	756.4617919921875
31	3.5116484091668667	231.7543501490727	5.746395587921143	9.122575759887695	805.962158203125
32	4.735748518811533	276.827503091321	4.373088836669922	10.846522331237793	802.9254150390625
33	12.151536519514195	398.8770557151329	9.293553352355957	9.05951976776123	727.2155151367188
34	12.2394212683148	772.2817126468035	5.84004545211792	7.583812713623047	854.110107421875
35	3.9431887002465373	257.79402568332443	4.900716781616211	9.471963882446289	812.70361328125
36	5.929808768240093	426.53261670429856	2.95342755317688	6.510469436645508	855.3628540039062
37	3.1740913335359124	346.4868305092423	2.7867484092712402	9.814849853515625	895.4354858398438
38	4.055602279555615	440.3026898056851	1.7888611555099487	9.534918785095215	913.0706787109375
39	2.324665880168496	291.14062225684756	1.71449875831604	14.655977249145508	893.0050048828125
40	4.0078334976171845	576.5073138038279	0.08694799989461899	11.106782913208008	966.822265625
41	2.6814477898299174	353.81981115017334	2.9034838676452637	11.842967987060547	917.24169921875
42	2.774820055870805	333.3949403200677	1.7490308284759521	11.901202201843262	902.3236083984375
43	6.20690528337542	800.828423119674	0.05276433005928993	6.851085186004639	970.9161376953125
44	4.689336233262168	182.2451076835896	5.518556118011475	9.871286392211914	723.1465454101562
45	2.833157430107022	179.80062667347738	5.6001057624816895	9.658486366271973	780.3173217773438
46	3.1845053556107814	451.4583409299121	0.09957175701856613	11.400527000427246	946.4434814453125
47	12.936031028267791	578.0965393048282	5.534905910491943	9.788928985595703	788.2725219726562
48	3.0211849016614565	231.5149771428878	3.6524722576141357	9.218019485473633	822.6401977539062
49	2.3482998504050556	390.91875953530325	1.4023151397705078	15.374011039733887	949.2742309570312
50	2.7970258221637465	330.60687417573354	1.099326729774475	11.704912185668945	899.7474975585938
51	2.396147079076627	208.33319852772183	2.136704444885254	10.05141830444336	825.3749389648438
52	6.213595389756904	407.98724856172703	5.130652904510498	8.773262023925781	839.945556640625
53	6.543269308753224	274.15462376550204	5.757872581481934	10.10331916809082	755.12255859375
54	9.737410688075215	531.6634737291643	3.534855365753174	10.299383163452148	820.6546630859375
55	3.908681712494001	235.62573228037218	5.078742980957031	8.008320808410645	796.364990234375
56	6.167548452437188	256.7232273635491	4.702653408050537	8.944941520690918	751.16259765625
57	9.30836167615604	704.9955390729338	4.78111457824707	9.009346961975098	882.8814697265625
58	5.7637375598474705	598.2055287977128	0.9825354814529419	9.446084976196289	925.1498413085938
59	38.48770491605683	1813.3677848163643	6.40498685836792	8.406875610351562	806.8685302734375
60	2.2269988832840824	245.92533840239048	1.6323312520980835	13.173114776611328	864.1611938476562
61	6.082044217253099	284.38903869414935	5.186479568481445	8.928296089172363	773.126708984375
62	3.3937479865244455	189.82027253171054	4.9409990310668945	10.063355445861816	771.1143798828125
63	4.217316345607799	313.03532529136646	4.5841803550720215	9.96638011932373	841.9816284179688
64	6.0661802062952574	314.0462357633842	4.7307000160217285	8.427474975585938	792.64990234375
65	3.3852847119305807	208.4053338876729	4.281624794006348	11.561054229736328	789.6170043945312
66	4.752939809486861	562.6229851458666	0.6714329123497009	8.891459465026855	940.0162353515625
67	2.105870402055089	186.23431843082017	4.478292465209961	12.301400184631348	815.0411987304688
68	2.7567624024509882	301.7336934953928	0.671611487865448	9.026476860046387	883.5177612304688
69	3.8782670378964355	512.3636994904373	0.5711244344711304	11.372946739196777	948.0439453125
70	2.5151603204659665	287.81433656999434	0.947795033454895	9.703997611999512	883.48291015625
71	3.0134276002602434	108.92157883268374	6.8746538162231445	12.140470504760742	676.5748291015625
72	2.917133502451236	231.28799772771254	3.423382043838501	14.655580520629883	826.11181640625
73	3.9640726796136647	438.39799544134075	0.37654873728752136	8.265108108520508	914.9952392578125
74	8.650664557834716	615.8437951631495	4.0861101150512695	8.453990936279297	868.5919189453125
75	4.094949651255092	325.41919903051166	4.559168815612793	8.855504989624023	853.188720703125
76	5.0640397050279375	501.1790110529546	1.3905409574508667	9.539010047912598	908.995361328125
77	9.194066823181458	520.1342435910228	3.895263671875	7.716111660003662	825.95556640625
78	3.358362018488151	445.4297812220793	0.08518145978450775	11.319721221923828	937.7655029296875
79	5.485918900787112	443.17899648822277	3.3612732887268066	9.884134292602539	873.9468994140625
80	6.196691707311629	332.57006359199295	5.167671203613281	7.966745376586914	800.7061767578125
81	8.249000155335636	467.03639535117327	3.231311321258545	7.556329727172852	822.5913696289062
82	11.871067022777936	516.5907980790507	4.738236427307129	9.155147552490234	781.4464111328125
83	4.560565750525939	435.39700772789365	3.8456530570983887	7.974482536315918	895.7698974609375
84	6.4758385902152895	322.90270979901834	4.26741361618042	10.493876457214355	788.5936889648438
85	6.950631277360117	375.7087260553417	4.47473669052124	8.682190895080566	807.1099243164062
86	6.090994259084766	253.36994914991374	6.576171875	9.329599380493164	750.4609375
87	3.7277905467822734	214.19182931233445	4.305675983428955	8.521598815917969	783.525146484375
88	5.42622461252904	205.92056765055986	7.498598098754883	8.60711669921875	726.84033203125
89	7.917752747769612	309.9041097747431	8.790873527526855	9.530313491821289	749.4631958007812
90	5.744377291623607	175.75186635543014	6.824021816253662	9.778712272644043	688.0050659179688
91	3.041968718911349	252.57155382499695	1.7359380722045898	9.975255012512207	838.8229370117188
92	4.283472564007354	395.0738546848297	3.309250831604004	10.507072448730469	885.107421875
93	4.053147215893716	292.14660307405575	5.404116630554199	8.529744148254395	833.5349731445312
94	3.9653938544327048	339.4654856080924	2.435235023498535	10.22722339630127	865.3819580078125
95	2.8876413248464274	369.613913884401	1.3197109699249268	11.325858116149902	918.1676025390625
96	4.527075208654935	439.00107628174374	1.6136316061019897	8.894193649291992	898.47412109375
97	7.286234922299627	318.87321084389987	4.336404800415039	8.41327953338623	768.025390625
98	4.622092389509817	435.6223791560078	3.150782585144043	8.12488079071045	894.1138916015625
99	4.093516860291459	443.7861593815942	2.9613559246063232	6.886590003967285	913.3729248046875
100	6.058181441995259	323.77351524055484	3.689706325531006	8.974583625793457	798.7228393554688
