node1,node2,regime
5058,,0
5083,,0
5040,,0
5232,,0
5148,,0
5285,,0
5184,,0
4990,,0
5242,,0
5222,,0
4997,,0
5168,,0
5208,,0
5124,,0
5406,,0
4984,,0
5009,,0
4940,,0
5220,,0
4956,,0
5026,,0
4974,,0
4965,,0
4991,,0
4983,,0
4909,,0
4989,,0
5300,,0
4971,,0
5072,,0
5333,,0
5063,,0
5358,,0
5192,,0
4996,,0
5308,,0
5346,,0
5259,,0
5274,,0
5238,,0
5392,,0
5132,,0
4906,,0
4936,,0
5365,,0
5051,,0
4978,,0
5383,,0
5017,,0
5234,,0
5141,,0
4969,,0
5043,,0
5215,,0
5296,,0
5206,,0
5396,,0
5327,,0
5140,,0
5028,,0
5012,,0
5316,,0
5118,,0
5154,,0
5401,,0
5267,,0
5024,,0
5130,,0
5164,,0
5247,,0
5041,,0
5103,,0
5144,,0
5384,,0
5251,,0
4902,,0
5343,,0
5250,,0
5399,,0
5214,,0
5131,,0
5142,,0
4944,,0
5269,,0
5230,,0
4923,,0
5391,,0
5299,,0
5122,,0
5174,,0
4910,,0
5004,,0
5181,,0
5325,,0
5008,,0
5106,,0
4961,,0
5260,,0
5189,,0
5264,,0
5080,,0
5078,,0
4947,,0
4922,,0
5321,,0
5197,,0
4911,,0
5311,,0
5246,,0
5066,,0
5371,,0
5127,,0
5128,,0
5104,,0
5162,,0
5408,,0
5109,,0
5353,,0
5337,,0
5153,,0
4920,,0
5256,,0
5233,,0
5314,,0
4976,,0
5182,,0
4958,,0
4898,,0
4985,,0
5183,,0
5169,,0
4921,,0
5397,,0
5249,,0
5376,,0
5207,,0
5281,,0
5157,,0
5151,,0
5002,,0
5357,,0
5176,,0
4946,,0
5171,,0
4917,,0
5053,,0
5255,,0
5330,,0
5303,,0
5318,,0
5055,,0
5385,,0
5084,,0
5313,,0
4929,,0
5195,,0
5317,,0
5425,,1
5462,,1
5542,,1
5434,,1
5528,,1
5496,,1
5483,,1
5484,,1
5532,,1
5524,,1
5515,,1
5431,,1
5478,,1
5463,,1
5534,,1
5495,,1
5429,,1
5529,,1
5472,,1
5430,,1
5442,,1
5505,,1
5438,,1
5422,,1
5494,,1
5526,,1
5479,,1
5533,,1
5464,,1
5482,,1
5419,,1
5436,,1
5485,,1
5461,,1
5536,,1
5443,,1
5503,,1
5058,5083,0
5058,5184,0
5058,4990,0
5058,5242,0
5058,5124,0
5058,5215,0
5058,5214,0
5058,4920,0
5058,5425,0
5083,5040,0
5083,5232,0
5083,5148,0
5083,5285,0
5083,5017,0
5083,4969,0
5083,5084,0
5040,5189,0
5040,4911,0
5232,4940,0
5232,5026,0
5232,5396,0
5232,5316,0
5148,5222,0
5148,5168,0
5148,5358,0
5148,5132,0
5148,4906,0
5148,5251,0
5148,4902,0
5148,5399,0
5148,5269,0
5148,5197,0
5148,5281,0
5285,5208,0
5285,4936,0
5184,5183,0
4990,4997,0
4990,4965,0
4990,4989,0
4990,5259,0
4990,5122,0
4990,5246,0
5242,4971,0
5242,5192,0
5242,4996,0
5242,5012,0
5222,5406,0
5222,5220,0
5222,4991,0
5222,5247,0
4997,5392,0
5168,5206,0
5168,4944,0
5168,4917,0
5208,4984,0
5208,5300,0
5208,5346,0
5208,5103,0
5208,4922,0
5208,5207,0
5124,5063,0
5124,5043,0
5124,5130,0
4984,5009,0
4984,4983,0
4984,5321,0
4940,4956,0
4940,4909,0
4940,5072,0
4940,5308,0
4940,5078,0
4940,5311,0
5220,4974,0
5220,5353,0
4956,5174,0
5026,5376,0
4965,5333,0
4965,4978,0
4991,5267,0
4991,4976,0
4909,4910,0
4909,5181,0
4909,5066,0
4909,4929,0
4909,5195,0
5300,5299,0
5300,5330,0
4971,5028,0
4971,5154,0
4971,5250,0
5072,5274,0
5072,5234,0
5072,5401,0
5333,5024,0
5063,5140,0
5063,5408,0
5358,5238,0
5358,5383,0
5358,5325,0
5358,5127,0
5358,5357,0
5358,5055,0
5192,5164,0
5308,5041,0
5346,5051,0
5346,5343,0
5259,5260,0
5238,5365,0
5238,4923,0
5392,5141,0
5392,5391,0
5132,5144,0
5132,5131,0
5383,5384,0
5383,5303,0
5017,5296,0
5234,5118,0
5234,5233,0
5141,5142,0
4969,5327,0
4969,5002,0
5215,5004,0
5215,5171,0
5296,5080,0
5396,5314,0
5140,4958,0
5012,5371,0
5012,5318,0
5154,5008,0
5154,5153,0
5401,5169,0
5401,5053,0
5267,4947,0
5024,5385,0
5130,5230,0
5130,5106,0
5103,5104,0
5251,5176,0
5250,5249,0
5399,4961,0
4944,5109,0
5269,4946,0
4923,5264,0
4923,5151,0
5181,5162,0
5181,5182,0
5325,4985,0
5106,5397,0
5264,5157,0
4922,4921,0
5197,4898,0
5246,5256,0
5066,5337,0
5127,5128,0
5256,5255,0
5314,5313,0
5318,5317,0
5425,5462,1
5425,5434,1
5425,5528,1
5425,5496,1
5425,5505,1
5425,5438,1
5462,5542,1
5462,5431,1
5462,5534,1
5462,5442,1
5462,5482,1
5462,5461,1
5434,5483,1
5434,5532,1
5434,5515,1
5528,5463,1
5528,5536,1
5496,5495,1
5496,5422,1
5496,5503,1
5483,5484,1
5532,5524,1
5515,5472,1
5515,5436,1
5431,5478,1
5431,5429,1
5431,5479,1
5463,5464,1
5534,5529,1
5534,5533,1
5534,5485,1
5429,5430,1
5529,5419,1
5442,5494,1
5442,5526,1
5442,5443,1
